"Rank","url","name","overallurl","Tuition and Fees","Enrollment","SAT","ACT","Median starting salary of alumni","Selectivity","Acceptance rate","Application deadline","Class sizes(<20,20-49,>=50)__001","Class sizes(<20,20-49,>=50)__002","Class sizes(<20,20-49,>=50)__003","Student-faculty ratio","4-year graduation rate","Total faculty(fulltime,parttime)","Total faculty(fulltime,parttime)____001","Total faculty(fulltime,parttime)____002","Best Business Schools","Best Business Schools__Accounting","Best Business Schools__Entrepreneurship","Best Business Schools__Executive MBA","Best Business Schools__Finance","Best Business Schools__Information Systems","Best Business Schools__International","Best Business Schools__Management","Best Business Schools__Marketing","Best Business Schools__Part-time MBA","Best Business Schools__Production / Operations","Best Business Schools__Supply Chain / Logistics","Best Education Schools","Best Education Schools__Student Counseling and Personnel Services","Best Education Schools__Technical / Vocational","Best Education Schools__Curriculum and Instruction","Best Education Schools__Education Policy","Best Education Schools__Educational Administration and Supervision","Best Education Schools__Educational Psychology","Best Education Schools__Elementary Teacher Education","Best Education Schools__Higher Education Administration","Best Education Schools__Secondary Teacher Education","Best Education Schools__Special Education","Best Business Schools__Nonprofit","Best Engineering Schools","Best Engineering Schools__Biomedical Engineering / Bioengineering","Best Engineering Schools__Aerospace / Aeronautical / Astronautical Engineering","Best Engineering Schools__Biological / Agricultural Engineering","Best Engineering Schools__Chemical Engineering","Best Engineering Schools__Civil Engineering","Best Engineering Schools__Computer Engineering","Best Engineering Schools__Electrical / Electronic / Communications Engineering","Best Engineering Schools__Materials Engineering","Best Engineering Schools__Environmental / Environmental Health Engineering","Best Engineering Schools__Industrial / Manufacturing / Systems Engineering","Best Engineering Schools__Mechanical Engineering","Best Engineering Schools__Nuclear Engineering","Best Engineering Schools__Petroleum Engineering","Best Law Schools","Best Law Schools__Clinical Training","Best Law Schools__Trial Advocacy","Best Law Schools__Dispute Resolution","Best Law Schools__Environmental Law","Best Law Schools__Health Care Law","Best Law Schools__Intellectual Property Law","Best Law Schools__International Law","Best Law Schools__Legal Writing","Best Law Schools__Part-time Law","Best Law Schools__Tax Law","Best Medical Schools: Primary Care","Best Medical Schools: Research","Best Medical Schools: Research__Anesthesiology","Best Medical Schools: Research__Internal Medicine","Best Medical Schools: Research__Pediatrics","Best Medical Schools: Research__Obstetrics and Gynecology","Best Medical Schools: Research__Psychiatry","Best Medical Schools: Research__Radiology","Best Medical Schools: Research__Surgery","Audiology","Best Nursing Schools: Doctor of Nursing Practice","Best Nursing Schools: Master's","Best Nursing Schools: Master's__Clinical Nurse Leader","Best Nursing Schools: Master's__Nurse Practitioner: Adult / Gerontology, Acute Care","Best Nursing Schools: Master's__Nurse Practitioner: Adult / Gerontology, Primary Care","Best Nursing Schools: Master's__Nurse Practitioner: Family","Best Nursing Schools: Master's__Nurse Practitioner: Pediatric, Primary Care","Best Nursing Schools: Master's__Nurse Practitioner: Psychiatric / Mental Health, Across the Lifespan","Best Nursing Schools: Master's__Nursing Administration","Best Nursing Schools: Master's__Nursing Informatics","Biological Sciences","Biological Sciences__Cell Biology","Biological Sciences__Neuroscience / Neurobiology","Biological Sciences__Genetics / Genomics / Bioinformatics","Biological Sciences__Microbiology","Biological Sciences__Ecology / Evolutionary Biology","Biological Sciences__Biochemistry / Biophysics / Structural Biology","Chemistry","Chemistry__Analytical","Chemistry__Biochemistry","Chemistry__Inorganic","Chemistry__Organic","Chemistry__Physical","Chemistry__Theoretical","Clinical Psychology","Computer Science","Computer Science__Artificial Intelligence","Computer Science__Programming Language","Criminology","Computer Science__Systems","Computer Science__Theory","Earth Sciences","Earth Sciences__Environmental Sciences","Earth Sciences__Geochemistry","Earth Sciences__Geology","Earth Sciences__Paleontology","Earth Sciences__Geophysics and Seismology","Economics","Economics__Development Economics","Economics__Econometrics","Economics__Industrial Organization","Economics__International Economics","Economics__Labor Economics","Economics__Macroeconomics","Economics__Microeconomics","Economics__Public Finance","English","English__18th Through 20th Century British Literature","English__African-American Literature","English__American Literature After 1865","English__Literary Criticism and Theory","English__American Literature Before 1865","English__Gender and Literature","English__Medieval / Renaissance Literature","Best Fine Arts Programs","Best Fine Arts Programs__Glass","Best Fine Arts Programs__Ceramics","Best Fine Arts Programs__Printmaking","Best Fine Arts Programs__Graphic Design","Best Fine Arts Programs__Painting / Drawing","Best Fine Arts Programs__Photography","Best Fine Arts Programs__Sculpture","Best Fine Arts Programs__Time-Based Media / New Media","Health Care Management","History","History__African History","History__Cultural History","History__African-American History","History__Women's History","History__Asian History","History__European History","History__Latin American History","History__Modern U.S. History","Best Library and Information Studies Programs","Best Library and Information Studies Programs__Archives and Preservation","Best Library and Information Studies Programs__Digital Librarianship","Best Library and Information Studies Programs__Health Librarianship","Best Library and Information Studies Programs__Information Systems","Best Library and Information Studies Programs__Law Librarianship","Best Library and Information Studies Programs__School Library Media","Best Library and Information Studies Programs__Services for Children and Youth","History__U.S. Colonial History","Mathematics","Mathematics__Logic","Mathematics__Algebra / Number Theory / Algebraic Geometry","Mathematics__Analysis","Mathematics__Applied Math","Mathematics__Discrete Mathematics and Combinatorics","Mathematics__Geometry","Nursing-Midwifery","Occupational Therapy","Pharmacy","Physical Therapy","Physician Assistant","Mathematics__Topology","Nursing-Anesthesia","Physics","Physics__Atomic / Molecular / Optical","Physics__Condensed Matter","Physics__Cosmology / Relativity / Gravity","Physics__Elementary Particles / Field / String Theory","Physics__Nuclear","Physics__Plasma","Physics__Quantum","Political Science","Political Science__American Politics","Political Science__Comparative Politics","Political Science__International Politics","Political Science__Political Methodology","Political Science__Political Theory","Psychology","Psychology__Industrial and Organizational Psychology","Psychology__Behavioral Neuroscience","Psychology__Cognitive Psychology","Psychology__Developmental Psychology","Psychology__Experimental Psychology","Psychology__Social Psychology","Public Health","Rehabilitation Counseling","Social Work","Best Public Affairs Programs","Best Public Affairs Programs__Environmental Policy and Management","Best Public Affairs Programs__Information and Technology Management","Best Public Affairs Programs__Homeland/National Security and Emergency Management","Best Public Affairs Programs__Health Policy and Management","Best Public Affairs Programs__Public Finance and Budgeting","Best Public Affairs Programs__International Global Policy and Administration","Best Public Affairs Programs__Local Government Management","Best Public Affairs Programs__Nonprofit Management","Best Public Affairs Programs__Public Management and Leadership","Best Public Affairs Programs__Public Policy Analysis","Best Public Affairs Programs__Social Policy","Best Public Affairs Programs__Urban Policy","Sociology","Speech-Language Pathology","Sociology__Historical Sociology","Sociology__Economic Sociology","Sociology__Sex and Gender","Sociology__Social Psychology","Sociology__Social Stratification","Sociology__Sociology of Culture","Statistics","Veterinary Medicine","Sociology__Sociology of Population"
"#1","https://premium.usnews.com/best-colleges/princeton-university-2627","Princeton University","https://premium.usnews.com/best-colleges/princeton-university-2627/overall-rankings","$47,140","5,394","1430-1570","31-35","$68,400","Most selective","6%","Jan. 1","75.5%","14.3%","10.1%","5:1","89%","","959","190","","","","","","","","","","","","","","","","","","","","","","","","","17","","8","","9","17","12","9","","23","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","9","","","13","7","11","12","","8","17","10","","13","4","10","","","","","10","1","7","6","9","4","3","3","4","6","8","9","","","","","","7","","","","","","","","","","","1","","","","","2","3","","5","","","","","","","","","5","1","","3","2","7","5","3","","","","","","3","","3","","8","1","3","","1","10","3","2","2","1","3","1","8","","","12","","","8","","","","9","","","","11","","3","","","27","7","9","","1","","","3","","","6","1","","","10"
"#3","https://premium.usnews.com/best-colleges/yale-university-1426","Yale University","https://premium.usnews.com/best-colleges/yale-university-1426/overall-rankings","$53,430","5,746","1420-1590","32-35","$63,200","Most selective","7%","Jan. 1","73.3%","17.9%","8.8%","6:1","87%","","1,215","501","11","35","24","23","22","","17","11","","","","","","","","","","","","","","","","1","39","26","","","47","","36","35","","9","","35","","","1","5","","","21","14","21","5","","","15","51","11","10","12","","11","4","11","","","10","8","","","","20","4","8","","","6","","","","","","5","9","","8","11","8","","6","4","20","","","","","16","13","","","","2","","1","3","2","3","5","8","11","6","9","8","5","","","","5","","2","1","","","","2","1","1","2","","","1","","","2","","4","1","5","1","","","","","","","","","","9","","10","15","","","14","4","","","","20","","","12","12","","","10","5","","10","4","7","4","13","","3","3","","","5","","2","4","14","","","","","","","","","","","","","","","","22","","1","","","","","5","31","",""
"#14","https://premium.usnews.com/best-colleges/brown-university-3401","Brown University","https://premium.usnews.com/best-colleges/brown-university-3401/overall-rankings","$55,656","6,988","1405-1570","31-35","$60,300","Most selective","9%","Jan. 1","70.3%","19.1%","10.7%","7:1","86%","","816","115","","","","","","","","","","","","","","","","","","","","","","","","","47","45","","","61","","36","46","42","","","22","","","","","","","","","","","","","","39","32","","","","11","","","","","","","","","","","","","","","33","","","","","","","59","","","","","","","","25","","","","","","15","","","","","10","19","6","","","","","","","","13","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","14","","","","4","","","","","","","","","","35","","","","","","","","40","","","","","","26","","","","","","","","","","64","","","","","","","","","","","","","24","","","","","","","","44","","14"
"#18","https://premium.usnews.com/best-colleges/university-of-notre-dame-1840","University of Notre Dame","https://premium.usnews.com/best-colleges/university-of-notre-dame-1840/overall-rankings","$53,391","8,576","1370-1520","32-34","$62,700","Most selective","19%","Jan. 1","61.9%","28.6%","9.6%","10:1","90%","","1,188","160","31","12","","20","","","","","","","","","","","","","","","","","","","","9","54","59","22","","26","40","36","39","","48","","38","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73","","","","","","","59","13","","","","","","47","58","","","","","","68","","","","","","47","","","","","","","","","33","","","","","","","","114","","","","","","","","","","27","","","","","","","","","","","","","","","","","","39","3","","","","","","","","","","","","","52","","","","","","","","37","","","","","8","60","","","","","","","","","","","","","","","","","","","","","","","32","","","","","","","","","",""
"#19","https://premium.usnews.com/best-colleges/university-of-california-los-angeles-1315","University of California--Los Angeles","https://premium.usnews.com/best-colleges/university-of-california-los-angeles-1315/overall-rankings","$41,294 (out-of-state), $13,280 (in-state)","31,002","1240-1500","27-33","$56,600","Most selective","16%","Nov. 30","56.7%","24.3%","19%","18:1","75%","","2,281","745","16","","","8","9","","17","24","14","5","16","","1","","","","8","14","15","","3","15","","","16","26","15","","21","17","","13","21","","","13","","","16","","","","6","","21","12","","","9","4","8","13","15","13","","9","13","8","","","20","","17","","","","","","","18","","","","","","","15","","","","15","14","","1","13","14","","","17","12","13","","6","","","","12","","","","","","","","","6","5","","5","","3","","","2","","","","","6","3","5","2","14","9","","","","","5","6","2","9","14","6","","","","","","","","7","2","8","1","2","11","12","","","","","","7","","17","","","","","","","","12","9","11","","12","10","3","","5","12","","","4","10","","15","14","","","","","","","","","25","18","14","19","8","","","","","","5","","31","","11"
"#3","https://premium.usnews.com/best-colleges/columbia-university-2707","Columbia University","https://premium.usnews.com/best-colleges/columbia-university-2707/overall-rankings","$59,430","6,162","1450-1580","32-35","$64,900","Most selective","6%","Jan. 1","81.5%","9.4%","9.1%","6:1","88%","","1,535","182","9","16","","4","4","","7","10","7","","13","","","","","","","","","","","","","9","12","12","","","26","17","15","15","28","31","11","27","","","5","21","","19","11","","17","3","","","12","43","11","8","6","","10","2","","","","19","11","","7","9","8","10","9","","","18","","","","","","","9","","","","12","12","7","","13","12","18","","14","10","5","2","2","7","","5","9","7","13","","6","","11","11","9","3","2","1","","","5","","6","6","","","","","5","","7","","22","6","","","","","5","6","","3","","","","","","","","","","7","","8","13","15","","7","12","11","","36","","9","22","10","","","","13","9","","","7","7","7","5","12","10","17","","","","","","","5","","5","18","5","","6","","","1","","","37","20","14","","11","","","","","","13","","16","",""
"#16","https://premium.usnews.com/best-colleges/cornell-university-2711","Cornell University","https://premium.usnews.com/best-colleges/cornell-university-2711/overall-rankings","$55,188","14,907","1390-1550","31-34","$65,000","Most selective","13%","Jan. 2","57.3%","24.9%","17.8%","9:1","85%","","1,794","374","15","","22","12","","","","20","24","","","","","","","","","","","","","","","","15","14","14","5","17","11","9","9","10","10","5","10","","","13","","","","","","","23","","","","43","21","","","","","","","","","","","","","","","","","","","10","","","","","3","","9","","","15","","13","","","6","6","5","","12","4","19","","","","","8","16","","","","","","","","","8","","","","","5","","","27","","","","","","","","","14","11","","","","","","","","","","","","","","","","","","13","8","","","16","10","","","","","","33","11","","7","","7","","10","","","","19","","","","","","24","","","","","","","","","","34","","","","9","","","","","","","","","17","","","5","","","","","20","2",""
"#12","https://premium.usnews.com/best-colleges/california-institute-of-technology-1131","California Institute of Technology","https://premium.usnews.com/best-colleges/california-institute-of-technology-1131/overall-rankings","$52,362","961","1530-1590","34-35","$81,000","Most selective","8%","Jan. 3","67%","23.4%","9.6%","3:1","79%","","331","43","","","","","","","","","","","","","","","","","","","","","","","","","4","21","1","","2","11","7","5","7","23","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","1","","7","3","3","3","2","","11","19","","","","16","1","","1","3","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","11","5","","","","","","","","","","3","7","10","2","3","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"#3","https://premium.usnews.com/best-colleges/university-of-chicago-1774","University of Chicago","https://premium.usnews.com/best-colleges/university-of-chicago-1774/overall-rankings","$57,006","6,264","1480-1580","32-35","$57,700","Most selective","9%","Jan. 1","80%","14.1%","6%","5:1","88%","","1,403","268","1","7","19","1","2","","15","14","8","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","18","","","19","39","18","","","","","","","","","","","","","","","","","","","13","","","","","8","","14","","","","","6","3","","30","","","","","15","19","","","","1","","7","","8","6","8","3","7","10","6","1","4","","2","1","","","","33","","","","","","","","","","6","","2","","","","5","2","9","","","","","","","","","","6","6","5","5","","","8","","","","","","5","","7","9","9","3","7","","","9","12","","13","11","","4","17","","","","","","","","","3","14","","","","15","29","","","","","4","4","14","8","","","","","","","6","6","",""
"#19","https://premium.usnews.com/best-colleges/washington-university-in-st-louis-2520","Washington University in St. Louis","https://premium.usnews.com/best-colleges/washington-university-in-st-louis-2520/overall-rankings","$53,399","7,675","1470-1570","32-34","$60,300","Most selective","16%","Jan. 2","64.4%","24.8%","10.8%","8:1","88%","","948","352","23","","","","27","","","","","22","","","64","","","","","","","","","","","","50","16","40","","34","","31","39","46","27","39","48","","","18","11","12","","","","","","","","","10","8","6","8","11","7","","5","7","3","","","","","","","","","","","13","","","1","","","","41","","","","","","","16","49","","","","","","27","","","","","","27","","","","","","","","","35","","","","","","","","12","","","","","","","","","","38","","","","","","","","","","","","","","","","","","34","","","","","","","","1","","1","","","18","47","","","","","","","","19","12","11","","7","","13","","","8","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","",""
